scope,holding_days,dte_bucket,event_type,post_warmup_only,trade_count,win_rate,avg_return,median_return,avg_net_pnl,total_net_pnl,max_loss,max_win,profit_factor,top_5_wins_to_total_pnl,expected_shortfall_5pct,top10_capture,flat_ratio
holding_dte_event_type,3,10-14,trend_vol_expansion,False,6,0.3333333333333333,-0.10390007897036614,-0.0712231456840113,-4583.116666666665,-27498.69999999999,-19167.29999999999,1263.300000000001,0.07259089881994255,0.3029743224225146,-19167.29999999999,0.0,0.9872340425531915
holding_dte_event_type,3,10-14,up_shock,False,3,1.0,0.24429316028015124,0.1885159456175343,7203.800000000002,21611.400000000005,3288.999999999998,11690.7,inf,1.0000000000000002,3288.999999999998,0.02127659574468085,0.9936170212765958
holding_dte_event_type,3,15-21,down_shock,False,21,1.0,0.601187660209519,0.398239277364777,15497.304761904767,325443.4000000001,1885.5999999999997,58378.8,inf,0.54147725841114,2147.4499999999994,0.3191489361702128,0.9553191489361702
holding_dte_event_type,3,15-21,gap_event,False,7,0.2857142857142857,-0.03831495045789985,-0.1477982129936562,-9229.442857142853,-64606.09999999996,-84279.99999999999,26096.9,0.41710342189336913,-0.4731813249832451,-84279.99999999999,0.0425531914893617,0.9851063829787234
holding_dte_event_type,3,15-21,noise_theta_decay,False,65,0.15384615384615385,-0.11819809630935543,-0.1528440272862492,-3356.683076923074,-218184.39999999982,-11406.699999999995,3204.900000000009,0.07261769607653552,-0.056533831016333067,-9625.399999999994,0.0,0.8617021276595744
holding_dte_event_type,3,15-21,trend_vol_expansion,False,29,0.13793103448275862,-0.08911553364591815,-0.069810058696177,-2609.4724137931003,-75674.69999999991,-7076.399999999998,1426.2,0.04079565792742609,-0.04160439354235988,-6914.049999999999,0.0,0.9382978723404255
holding_dte_event_type,3,15-21,up_shock,False,8,1.0,0.3418770705682049,0.3170189456673571,8941.987500000003,71535.90000000002,4813.600000000002,15226.9,inf,0.7526836175962,4813.600000000002,0.1276595744680851,0.9829787234042553
holding_dte_event_type,3,22-30,down_shock,False,22,1.0,0.3160016586526166,0.23888387938770006,9715.331818181821,213737.30000000008,1917.1999999999969,50600.600000000006,inf,0.49350721656912466,2389.750000000001,0.19148936170212766,0.9531914893617022
holding_dte_event_type,3,22-30,gap_event,False,7,0.2857142857142857,0.4963911360243429,-0.1493025869018246,14830.942857142858,103816.6,-8449.299999999988,102295.7,4.021912640519759,1.1624431930924344,-8449.299999999988,0.0425531914893617,0.9851063829787234
holding_dte_event_type,3,22-30,noise_theta_decay,False,114,0.12280701754385964,-0.09610294605524435,-0.09899718983485395,-3281.1833333333307,-374054.8999999997,-14776.399999999996,4326.900000000006,0.06784912835503275,-0.04708693830771912,-11461.449999999992,0.0,0.7574468085106383
