strategy,holding_days,event_type,dte_bucket,data_source,trade_count,premium_cost,win_rate,avg_return,median_return,max_loss,max_win,top_5_wins_contribution,event_type_capture
3% OTM strangle,3,up_shock,22-30,provider_chain,13,133.00015384615384,0.9230769230769231,2.0902197894510346,0.4065684791899536,-1645.4999999999984,92575.29999999999,0.8746883827570289,0.15853658536585366
3% OTM strangle,3,up_shock,31-45,provider_chain,2,195.8745,1.0,0.16107351962555155,0.16107351962555155,2118.5,4377.100000000001,1.0,0.024390243902439025
3% OTM strangle,3,up_shock,7-10,provider_chain,1,63.11399999999999,1.0,0.5260639477770387,0.5260639477770387,3320.200000000001,3320.200000000001,1.0,0.012195121951219513
3% OTM strangle,5,down_shock,10-14,provider_chain,2,130.44899999999998,1.0,2.8818788299716998,2.8818788299716998,29123.0,46038.40000000001,1.0,0.013605442176870748
3% OTM strangle,5,down_shock,15-21,provider_chain,18,94.336,1.0,1.7751250371837353,0.8744456935571177,101.90000000000197,58514.7,0.6919531946439894,0.12244897959183673
3% OTM strangle,5,down_shock,22-30,provider_chain,27,156.63855555555554,0.9629629629629629,0.57552571859119,0.2699015596653797,-891.799999999995,43379.3,0.560114532972584,0.1836734693877551
3% OTM strangle,5,down_shock,31-45,provider_chain,18,158.04183333333333,0.9444444444444444,0.39239534867396314,0.2514979207078025,-335.39999999999566,40024.899999999994,0.7288860478872603,0.12244897959183673
3% OTM strangle,5,down_shock,7-10,provider_chain,4,62.61149999999999,1.0,2.294453997601536,1.8513115512182678,893.2000000000006,60794.7,1.0,0.027210884353741496
3% OTM strangle,5,gap_event,10-14,provider_chain,3,154.43499999999997,0.0,-0.7535067280915504,-0.8199909543193126,-20489.199999999997,-7252.0,1.0,0.047619047619047616
3% OTM strangle,5,gap_event,15-21,provider_chain,6,177.148,0.3333333333333333,-0.2110419119514961,-0.3278866238101312,-7888.999999999998,5921.500000000004,0.6501490048603966,0.09523809523809523
3% OTM strangle,5,gap_event,22-30,provider_chain,7,219.77914285714283,0.2857142857142857,0.19010235193018094,-0.29807618255471857,-10413.799999999996,41341.5,3.5683055917772437,0.1111111111111111
3% OTM strangle,5,gap_event,31-45,provider_chain,3,249.23999999999998,0.3333333333333333,-0.10282679433610747,-0.34773192859233243,-8911.499999999998,10795.400000000007,1.0,0.047619047619047616
3% OTM strangle,5,gap_event,7-10,provider_chain,2,131.253,0.5,1.3556926641584786,1.3556926641584786,-657.4999999999989,16933.2,1.0,0.031746031746031744
3% OTM strangle,5,noise_theta_decay,10-14,provider_chain,28,69.34499999999998,0.03571428571428571,-0.6139385922517283,-0.6619457630662352,-10752.699999999999,353.0000000000008,0.059462468114817944,0.03365384615384615
3% OTM strangle,5,noise_theta_decay,15-21,provider_chain,46,95.27836956521737,0.021739130434782608,-0.4376516117757593,-0.4473857642750021,-9703.199999999999,1810.6999999999998,0.014500900252693395,0.055288461538461536
3% OTM strangle,5,noise_theta_decay,22-30,provider_chain,88,148.81994318181816,0.06818181818181818,-0.27682604646851133,-0.29121780746192927,-13319.6,4724.4,-0.039791453877463946,0.10576923076923077
3% OTM strangle,5,noise_theta_decay,31-45,provider_chain,30,194.16599999999997,0.13333333333333333,-0.20594928224539547,-0.2201425032398412,-17089.1,823.4000000000009,-0.014278300780724496,0.036057692307692304
3% OTM strangle,5,noise_theta_decay,7-10,provider_chain,14,59.59649999999999,0.0,-0.8061431644315079,-0.8035651289009498,-9588.499999999998,-2094.6,0.2192751553632497,0.016826923076923076
3% OTM strangle,5,trend_vol_expansion,10-14,provider_chain,6,139.25949999999997,0.0,-0.39801969315081087,-0.39309117682652706,-10702.599999999999,-837.9999999999995,0.643540151941568,0.02142857142857143
3% OTM strangle,5,trend_vol_expansion,15-21,provider_chain,46,121.40836956521737,0.06521739130434782,-0.2705459491468823,-0.23786551813508272,-13710.999999999996,710.9000000000009,-0.004731679092494347,0.16428571428571428
3% OTM strangle,5,trend_vol_expansion,22-30,provider_chain,46,172.87747826086954,0.15217391304347827,-0.1578408706598349,-0.16830898618718826,-10383.099999999997,3473.8,-0.07028363217752842,0.16428571428571428
3% OTM strangle,5,trend_vol_expansion,31-45,provider_chain,22,218.63318181818178,0.18181818181818182,-0.09811471705199303,-0.09747976515960627,-7281.699999999998,6306.300000000005,-0.19283040736916013,0.07857142857142857
3% OTM strangle,5,trend_vol_expansion,7-10,provider_chain,4,87.98774999999999,0.25,-0.2928785419278176,-0.3924847557195822,-12714.599999999997,753.1000000000003,0.9999999999999998,0.014285714285714285
3% OTM strangle,5,up_shock,10-14,provider_chain,5,121.32359999999998,1.0,1.2753936113211417,0.3981702598120509,127.60000000000069,34018.700000000004,1.0,0.06097560975609756
3% OTM strangle,5,up_shock,15-21,provider_chain,13,111.26123076923075,1.0,0.9186936014319832,0.49574680494707246,1181.0000000000032,21674.600000000002,0.6868321280593973,0.15853658536585366
3% OTM strangle,5,up_shock,22-30,provider_chain,24,119.38562499999999,0.9583333333333334,2.580244766108445,0.38919777943717937,-536.399999999999,131588.3,0.8406351492240649,0.2926829268292683
3% OTM strangle,5,up_shock,31-45,provider_chain,4,168.438,0.75,0.26874933154868264,0.1345953923363245,-1224.6999999999985,6296.6,1.0,0.04878048780487805
3% OTM strangle,5,up_shock,7-10,provider_chain,2,67.2345,0.5,0.23945844474585898,0.23945844474585898,-2001.299999999999,4792.799999999999,1.0,0.024390243902439025
5% OTM strangle,1,down_shock,10-14,provider_chain,3,71.824,1.0,0.8071596008849561,0.7291731000171557,2780.5000000000005,8500.7,1.0,0.02040816326530612
5% OTM strangle,1,down_shock,15-21,provider_chain,8,93.18862499999999,1.0,0.8156189700061534,0.4860795543872594,1298.8,24132.1,0.8741289339772469,0.05442176870748299
5% OTM strangle,1,down_shock,22-30,provider_chain,8,95.37449999999998,1.0,0.5429008934467912,0.48356903650198224,2456.4000000000005,5828.900000000004,0.744640062385937,0.05442176870748299
5% OTM strangle,1,down_shock,31-45,provider_chain,1,124.419,1.0,0.7273889036240445,0.7273889036240445,9050.099999999999,9050.099999999999,1.0,0.006802721088435374
5% OTM strangle,1,down_shock,7-10,provider_chain,1,73.767,1.0,0.6995404449143928,0.6995404449143928,5160.300000000001,5160.300000000001,1.0,0.006802721088435374
5% OTM strangle,1,gap_event,10-14,provider_chain,3,66.93299999999999,0.0,-0.39215427324726965,-0.36144720186051976,-5165.499999999999,-1227.7999999999995,1.0,0.047619047619047616
5% OTM strangle,1,gap_event,15-21,provider_chain,6,125.625,0.3333333333333333,0.7569126675573923,-0.1809560968231231,-3477.9999999999995,45665.200000000004,1.0459530771253298,0.09523809523809523
