signal_date,entry_date,exit_date,holding_days,strategy,moneyness,call_code,put_code,spot_at_signal,call_strike,put_strike,dte,entry_call_price,entry_put_price,exit_call_price,exit_put_price,entry_premium,exit_premium,net_pnl,return_on_premium,entry_mode_used
2024-12-24,2024-12-25,2024-12-31,5,3% OTM strangle,0.03,MO2501-C-6400.CFE,MO2501-P-5900.CFE,6164.3605,6400.0,5900.0,24,80.0,92.8,25.0,135.0,173.664,159.2,-1446.3999999999999,-0.08328726736686937,next_open
2024-12-25,2024-12-26,2024-12-26,1,3% OTM strangle,0.03,MO2501-C-6300.CFE,MO2501-P-5900.CFE,6094.6866,6300.0,5900.0,23,92.0,104.6,94.4,75.4,197.58299999999997,168.95100000000002,-2863.199999999995,-0.14491125248629666,next_open
2024-12-25,2024-12-26,2024-12-30,3,3% OTM strangle,0.03,MO2501-C-6300.CFE,MO2501-P-5900.CFE,6094.6866,6300.0,5900.0,23,92.0,104.6,83.2,59.4,197.58299999999997,141.887,-5569.599999999997,-0.28188659955562967,next_open
2024-12-25,2024-12-26,2025-01-02,5,3% OTM strangle,0.03,MO2501-C-6300.CFE,MO2501-P-5900.CFE,6094.6866,6300.0,5900.0,23,92.0,104.6,21.0,222.8,197.58299999999997,242.58100000000002,4499.800000000005,0.22774226527585903,next_open
2024-12-26,2024-12-27,2024-12-27,1,3% OTM strangle,0.03,MO2501-C-6400.CFE,MO2501-P-5900.CFE,6160.4518,6400.0,5900.0,22,64.4,71.4,59.0,60.2,136.47899999999998,118.604,-1787.4999999999986,-0.13097253057246894,next_open
2024-12-26,2024-12-27,2024-12-31,3,3% OTM strangle,0.03,MO2501-C-6400.CFE,MO2501-P-5900.CFE,6160.4518,6400.0,5900.0,22,64.4,71.4,25.0,135.0,136.47899999999998,159.2,2272.1000000000004,0.16647982473494097,next_open
2024-12-26,2024-12-27,2025-01-03,5,3% OTM strangle,0.03,MO2501-C-6400.CFE,MO2501-P-5900.CFE,6160.4518,6400.0,5900.0,22,64.4,71.4,6.0,324.2,136.47899999999998,328.549,19207.0,1.4073227382967346,next_open
2024-12-27,2024-12-30,2024-12-30,1,3% OTM strangle,0.03,MO2501-C-6400.CFE,MO2501-P-5900.CFE,6171.5653,6400.0,5900.0,21,59.0,62.2,55.2,59.4,121.80599999999998,114.02699999999999,-777.8999999999996,-0.06386384907147429,next_open
2024-12-27,2024-12-30,2025-01-02,3,3% OTM strangle,0.03,MO2501-C-6400.CFE,MO2501-P-5900.CFE,6171.5653,6400.0,5900.0,21,59.0,62.2,13.8,222.8,121.80599999999998,235.41700000000003,11361.100000000004,0.9327208840287018,next_open
2024-12-27,2024-12-30,2025-01-06,5,3% OTM strangle,0.03,MO2501-C-6400.CFE,MO2501-P-5900.CFE,6171.5653,6400.0,5900.0,21,59.0,62.2,3.0,334.6,121.80599999999998,335.91200000000003,21410.600000000006,1.7577623433985197,next_open
2024-12-30,2024-12-31,2024-12-31,1,3% OTM strangle,0.03,MO2501-C-6400.CFE,MO2501-P-5900.CFE,6145.928,6400.0,5900.0,18,55.8,56.2,25.0,135.0,112.55999999999999,159.2,4664.0,0.41435678749111593,next_open
2024-12-30,2024-12-31,2025-01-03,3,3% OTM strangle,0.03,MO2501-C-6400.CFE,MO2501-P-5900.CFE,6145.928,6400.0,5900.0,18,55.8,56.2,6.0,324.2,112.55999999999999,328.549,21598.899999999998,1.9188788201847904,next_open
2024-12-30,2024-12-31,2025-01-07,5,3% OTM strangle,0.03,MO2501-C-6400.CFE,MO2501-P-5900.CFE,6145.928,6400.0,5900.0,18,55.8,56.2,2.2,257.2,112.55999999999999,258.10299999999995,14554.299999999996,1.2930259417199714,next_open
2024-12-31,2025-01-02,2025-01-02,1,3% OTM strangle,0.03,MO2501-C-6200.CFE,MO2501-P-5700.CFE,5957.7172,6200.0,5700.0,17,55.0,61.0,30.8,116.0,116.57999999999998,146.066,2948.6000000000017,0.2529250300223025,next_open
2024-12-31,2025-01-02,2025-01-06,3,3% OTM strangle,0.03,MO2501-C-6200.CFE,MO2501-P-5700.CFE,5957.7172,6200.0,5700.0,17,55.0,61.0,8.6,190.2,116.57999999999998,197.80599999999998,8122.6,0.6967404357522733,next_open
2024-12-31,2025-01-02,2025-01-08,5,3% OTM strangle,0.03,MO2501-C-6200.CFE,MO2501-P-5700.CFE,5957.7172,6200.0,5700.0,17,55.0,61.0,5.2,139.2,116.57999999999998,143.67799999999997,2709.7999999999984,0.2324412420655343,next_open
2025-01-02,2025-01-03,2025-01-03,1,3% OTM strangle,0.03,MO2501-C-6000.CFE,MO2501-P-5600.CFE,5797.089,6000.0,5600.0,15,72.8,69.8,33.0,128.0,143.313,160.195,1688.2000000000005,0.11779810624297869,next_open
2025-01-02,2025-01-03,2025-01-07,3,3% OTM strangle,0.03,MO2501-C-6000.CFE,MO2501-P-5600.CFE,5797.089,6000.0,5600.0,15,72.8,69.8,16.8,74.6,143.313,90.943,-5236.999999999999,-0.36542393223224684,next_open
2025-01-02,2025-01-03,2025-01-09,5,3% OTM strangle,0.03,MO2501-C-6000.CFE,MO2501-P-5600.CFE,5797.089,6000.0,5600.0,15,72.8,69.8,8.4,79.8,143.313,87.759,-5555.399999999999,-0.38764103744949857,next_open
2025-01-03,2025-01-06,2025-01-06,1,3% OTM strangle,0.03,MO2501-C-5800.CFE,MO2501-P-5400.CFE,5625.209,5800.0,5400.0,14,75.8,60.0,61.2,64.2,136.47899999999998,124.77300000000001,-1170.5999999999974,-0.08577143736398989,next_open
2025-01-03,2025-01-06,2025-01-08,3,3% OTM strangle,0.03,MO2501-C-5800.CFE,MO2501-P-5400.CFE,5625.209,5800.0,5400.0,14,75.8,60.0,46.0,30.2,136.47899999999998,75.819,-6065.999999999998,-0.44446398346998434,next_open
2025-01-03,2025-01-06,2025-01-10,5,3% OTM strangle,0.03,MO2501-C-5800.CFE,MO2501-P-5400.CFE,5625.209,5800.0,5400.0,14,75.8,60.0,15.8,44.6,136.47899999999998,60.098000000000006,-7638.099999999997,-0.5596538661625596,next_open
2025-01-06,2025-01-07,2025-01-07,1,3% OTM strangle,0.03,MO2501-C-5800.CFE,MO2501-P-5400.CFE,5608.0344,5800.0,5400.0,11,61.0,65.0,58.2,25.0,126.62999999999998,82.784,-4384.599999999998,-0.346252862670773,next_open
2025-01-06,2025-01-07,2025-01-09,3,3% OTM strangle,0.03,MO2501-C-5800.CFE,MO2501-P-5400.CFE,5608.0344,5800.0,5400.0,11,61.0,65.0,37.2,26.4,126.62999999999998,63.282000000000004,-6334.799999999997,-0.5002606017531389,next_open
2025-01-06,2025-01-07,2025-01-13,5,3% OTM strangle,0.03,MO2501-C-5800.CFE,MO2501-P-5400.CFE,5608.0344,5800.0,5400.0,11,61.0,65.0,13.6,34.4,126.62999999999998,47.76,-7886.999999999997,-0.622838190002369,next_open
2025-01-07,2025-01-08,2025-01-08,1,3% OTM strangle,0.03,MO2501-C-5900.CFE,MO2501-P-5500.CFE,5692.041,5900.0,5500.0,10,28.6,45.2,25.0,50.6,74.169,75.222,105.29999999999973,0.014197306152165964,next_open
2025-01-07,2025-01-08,2025-01-10,3,3% OTM strangle,0.03,MO2501-C-5900.CFE,MO2501-P-5500.CFE,5692.041,5900.0,5500.0,10,28.6,45.2,7.6,78.0,74.169,85.172,1100.3,0.14835038897652658,next_open
2025-01-07,2025-01-08,2025-01-14,5,3% OTM strangle,0.03,MO2501-C-5900.CFE,MO2501-P-5500.CFE,5692.041,5900.0,5500.0,10,28.6,45.2,42.0,3.2,74.169,44.974000000000004,-2919.499999999999,-0.3936280656338901,next_open
2025-01-17,2025-01-20,2025-01-20,1,3% OTM strangle,0.03,MO2502-C-6100.CFE,MO2502-P-5600.CFE,5841.5718,6100.0,5600.0,35,120.4,96.0,106.4,103.0,217.48199999999997,208.353,-912.8999999999962,-0.04197588765966822,next_open
2025-01-17,2025-01-20,2025-01-22,3,3% OTM strangle,0.03,MO2502-C-6100.CFE,MO2502-P-5600.CFE,5841.5718,6100.0,5600.0,35,120.4,96.0,96.0,98.0,217.48199999999997,193.03,-2445.199999999997,-0.11243229324725712,next_open
2025-01-17,2025-01-20,2025-01-24,5,3% OTM strangle,0.03,MO2502-C-6100.CFE,MO2502-P-5600.CFE,5841.5718,6100.0,5600.0,35,120.4,96.0,109.0,58.0,217.48199999999997,166.165,-5131.699999999998,-0.23595975758913376,next_open
2025-01-20,2025-01-21,2025-01-21,1,3% OTM strangle,0.03,MO2502-C-6100.CFE,MO2502-P-5700.CFE,5879.1495,6100.0,5700.0,32,121.0,126.0,110.4,121.0,248.23499999999999,230.243,-1799.199999999999,-0.0724797067295103,next_open
2025-01-20,2025-01-21,2025-01-23,3,3% OTM strangle,0.03,MO2502-C-6100.CFE,MO2502-P-5700.CFE,5879.1495,6100.0,5700.0,32,121.0,126.0,78.8,133.6,248.23499999999999,211.33799999999997,-3689.700000000002,-0.14863737990210898,next_open
