policy,group,group_value,trade_count,win_rate,avg_return,median_return,avg_net_pnl,total_net_pnl,max_loss,max_win,profit_factor,top_5_wins_to_total_pnl,expected_shortfall_5pct,avg_exit_day
take_profit_50pct_or_stop_loss_30pct,dte_bucket,10-14,44,0.20454545454545456,-0.119600457713635,-0.2811087046712387,-2851.0004545454535,-125444.01999999996,-15708.149999999998,15527.25,0.4294815079070038,-0.5569420527180172,-13336.349999999999,4.4772727272727275
take_profit_50pct_or_stop_loss_30pct,dte_bucket,15-21,130,0.34615384615384615,-0.018353629638642115,-0.13557040076020926,-674.608538461536,-87699.10999999968,-35504.63999999999,23275.8,0.8216867180326644,-1.0678090119728734,-14029.141428571425,4.6461538461538465
take_profit_50pct_or_stop_loss_30pct,dte_bucket,22-30,192,0.3489583333333333,-0.01994386311058961,-0.08732853080819569,-1084.2871874999964,-208183.13999999932,-17288.01,24210.45,0.6888135277645964,-0.4424385663507635,-11976.613999999996,4.875
take_profit_50pct_or_stop_loss_30pct,dte_bucket,31-45,77,0.4025974025974026,-0.01916888259310255,-0.059719356538671,-1699.2636363636325,-130843.2999999997,-40280.39999999999,23135.1,0.5534411704979642,-0.579793539294715,-23266.799999999992,4.909090909090909
take_profit_50pct_or_stop_loss_30pct,dte_bucket,7-10,27,0.3333333333333333,-0.07135934593264451,-0.3,-1349.0674074074066,-36424.81999999998,-11227.859999999999,14170.500000000002,0.6664340927745468,-1.632964830025242,-9684.18,4.37037037037037
time_stop_1d_no_move,dte_bucket,10-14,44,0.2727272727272727,-0.10339281878499564,-0.0442928833818141,-2642.015909090907,-116248.6999999999,-20319.6,50735.6,0.3558633162688307,-0.5262028736665446,-15161.699999999995,3.227272727272727
time_stop_1d_no_move,dte_bucket,15-21,130,0.3384615384615385,-0.04284864630027969,-0.0329500915840244,-1819.873076923073,-236583.4999999995,-97513.49999999997,48759.700000000004,0.44644677574874747,-0.5354802849733827,-24139.02857142856,3.2
time_stop_1d_no_move,dte_bucket,22-30,192,0.3333333333333333,0.08827002687511198,-0.0188709340176142,1403.701041666671,269510.60000000085,-18783.399999999998,139300.7,1.7373049022965836,1.6474750900335593,-12111.069999999996,2.6302083333333335
time_stop_1d_no_move,dte_bucket,31-45,77,0.3246753246753247,-0.029244124849394256,-0.0188964814481806,-2126.5246753246706,-163742.39999999964,-74627.69999999998,10402.300000000005,0.1839934696513713,-0.147821822570086,-28467.674999999992,2.2987012987012987
time_stop_1d_no_move,dte_bucket,7-10,27,0.3333333333333333,-0.026753516210179806,-0.042002219120226,317.7222222222248,8578.50000000007,-17963.999999999996,63935.30000000001,1.0784788541181622,13.52755143673126,-15355.649999999998,3.6666666666666665
time_stop_1d_no_move_else_hold_5d,dte_bucket,10-14,44,0.2727272727272727,-0.10339281878499564,-0.0442928833818141,-2642.015909090907,-116248.6999999999,-20319.6,50735.6,0.3558633162688307,-0.5262028736665446,-15161.699999999995,3.227272727272727
time_stop_1d_no_move_else_hold_5d,dte_bucket,15-21,130,0.3384615384615385,-0.04284864630027969,-0.0329500915840244,-1819.873076923073,-236583.4999999995,-97513.49999999997,48759.700000000004,0.44644677574874747,-0.5354802849733827,-24139.02857142856,3.2
time_stop_1d_no_move_else_hold_5d,dte_bucket,22-30,192,0.3333333333333333,0.08827002687511198,-0.0188709340176142,1403.701041666671,269510.60000000085,-18783.399999999998,139300.7,1.7373049022965836,1.6474750900335593,-12111.069999999996,2.6302083333333335
time_stop_1d_no_move_else_hold_5d,dte_bucket,31-45,77,0.3246753246753247,-0.029244124849394256,-0.0188964814481806,-2126.5246753246706,-163742.39999999964,-74627.69999999998,10402.300000000005,0.1839934696513713,-0.147821822570086,-28467.674999999992,2.2987012987012987
time_stop_1d_no_move_else_hold_5d,dte_bucket,7-10,27,0.3333333333333333,-0.026753516210179806,-0.042002219120226,317.7222222222248,8578.50000000007,-17963.999999999996,63935.30000000001,1.0784788541181622,13.52755143673126,-15355.649999999998,3.6666666666666665
