signal_date,entry_date,exit_date,holding_days,underlying_code,call_code,put_code,spot_at_signal,strike,dte,entry_call_price,entry_put_price,exit_call_price,exit_put_price,entry_premium,exit_premium,gross_pnl,cost,net_pnl,return_on_premium,atm_iv,rv20,iv_rank,iv_percentile,iv_minus_rv20,entry_mode_used,signal_call_close,signal_put_close,signal_call_volume,signal_put_volume,signal_call_open_interest,signal_put_open_interest,signal_straddle_close,signal_straddle_premium_to_spot,entry_call_open,entry_put_open,entry_straddle_open,exit_call_close,exit_put_close,exit_straddle_close,signal_call_bid,signal_call_ask,signal_put_bid,signal_put_ask,call_bid_ask_spread,put_bid_ask_spread
2025-07-29,2025-07-30,2025-08-01,3,000852.SH,MO2508-C-6800.CFE,MO2508-P-6800.CFE,6773.8843,6800.0,17,81.4,170.0,28.2,208.0,252.65699999999998,235.01899999999998,-1520.0000000000018,243.79999999999882,-1763.8000000000006,-0.06981005869617707,0.17518878640283253,0.09933255449283851,0.06848585313064905,0.20634920634920634,0.07585623190999402,next_open,89.0,157.6,15141.0,3962.0,7408.0,1774.0,246.6,0.03640451904382246,81.4,170.0,251.4,28.2,208.0,236.2,,,,,,
2025-07-29,2025-07-30,2025-08-05,5,000852.SH,MO2508-C-6800.CFE,MO2508-P-6800.CFE,6773.8843,6800.0,17,81.4,170.0,55.0,101.2,252.65699999999998,155.41899999999998,-9520.000000000002,203.79999999999745,-9723.8,-0.3848616899591146,0.17518878640283253,0.09933255449283851,0.06848585313064905,0.20634920634920634,0.07585623190999402,next_open,89.0,157.6,15141.0,3962.0,7408.0,1774.0,246.6,0.03640451904382246,81.4,170.0,251.4,55.0,101.2,156.2,,,,,,
2025-07-30,2025-07-31,2025-07-31,1,000852.SH,MO2508-C-6700.CFE,MO2508-P-6700.CFE,6718.4819,6700.0,16,99.0,131.8,62.2,151.4,231.95399999999998,212.532,-1719.9999999999989,222.199999999998,-1942.1999999999969,-0.08373211929951616,0.1653796555517047,0.09612870291399286,0.05256589577419907,0.1111111111111111,0.06925095263771183,next_open,103.2,120.8,27402.0,19148.0,7416.0,4250.0,224.0,0.03334086529279777,99.0,131.8,230.8,62.2,151.4,213.60000000000002,,,,,,
2025-07-30,2025-07-31,2025-08-01,2,000852.SH,MO2508-C-6700.CFE,MO2508-P-6700.CFE,6718.4819,6700.0,16,99.0,131.8,54.4,132.0,231.95399999999998,185.46800000000002,-4440.000000000001,208.5999999999949,-4648.599999999996,-0.2004104262051957,0.1653796555517047,0.09612870291399286,0.05256589577419907,0.1111111111111111,0.06925095263771183,next_open,103.2,120.8,27402.0,19148.0,7416.0,4250.0,224.0,0.03334086529279777,99.0,131.8,230.8,54.4,132.0,186.4,,,,,,
2025-07-30,2025-07-31,2025-08-04,3,000852.SH,MO2508-C-6700.CFE,MO2508-P-6700.CFE,6718.4819,6700.0,16,99.0,131.8,87.0,75.0,231.95399999999998,161.19,-6880.000000000001,196.3999999999969,-7076.399999999998,-0.3050777309294084,0.1653796555517047,0.09612870291399286,0.05256589577419907,0.1111111111111111,0.06925095263771183,next_open,103.2,120.8,27402.0,19148.0,7416.0,4250.0,224.0,0.03334086529279777,99.0,131.8,230.8,87.0,75.0,162.0,,,,,,
2025-07-30,2025-07-31,2025-08-06,5,000852.SH,MO2508-C-6700.CFE,MO2508-P-6700.CFE,6718.4819,6700.0,16,99.0,131.8,162.0,25.4,231.95399999999998,186.463,-4340.000000000001,209.09999999999764,-4549.0999999999985,-0.1961207825689576,0.1653796555517047,0.09612870291399286,0.05256589577419907,0.1111111111111111,0.06925095263771183,next_open,103.2,120.8,27402.0,19148.0,7416.0,4250.0,224.0,0.03334086529279777,99.0,131.8,230.8,162.0,25.4,187.4,,,,,,
2025-07-31,2025-08-01,2025-08-01,1,000852.SH,MO2508-C-6700.CFE,MO2508-P-6700.CFE,6661.1862,6700.0,15,65.4,148.8,54.4,132.0,215.271,185.46800000000002,-2780.000000000001,200.2999999999961,-2980.299999999997,-0.13844410069168617,0.163171703390378,0.10427358631980904,0.048982448393704504,0.09523809523809523,0.05889811707056897,next_open,62.2,151.4,32817.0,19077.0,8642.0,4032.0,213.60000000000002,0.032066360793217286,65.4,148.8,214.20000000000002,54.4,132.0,186.4,,,,,,
2025-07-31,2025-08-01,2025-08-04,2,000852.SH,MO2508-C-6700.CFE,MO2508-P-6700.CFE,6661.1862,6700.0,15,65.4,148.8,87.0,75.0,215.271,161.19,-5220.000000000002,188.09999999999673,-5408.0999999999985,-0.25122287721058567,0.163171703390378,0.10427358631980904,0.048982448393704504,0.09523809523809523,0.05889811707056897,next_open,62.2,151.4,32817.0,19077.0,8642.0,4032.0,213.60000000000002,0.032066360793217286,65.4,148.8,214.20000000000002,87.0,75.0,162.0,,,,,,
2025-07-31,2025-08-01,2025-08-05,3,000852.SH,MO2508-C-6700.CFE,MO2508-P-6700.CFE,6661.1862,6700.0,15,65.4,148.8,103.8,51.2,215.271,154.225,-5920.000000000002,184.59999999999764,-6104.599999999999,-0.2835774442446962,0.163171703390378,0.10427358631980904,0.048982448393704504,0.09523809523809523,0.05889811707056897,next_open,62.2,151.4,32817.0,19077.0,8642.0,4032.0,213.60000000000002,0.032066360793217286,65.4,148.8,214.20000000000002,103.8,51.2,155.0,,,,,,
2025-07-31,2025-08-01,2025-08-07,5,000852.SH,MO2508-C-6700.CFE,MO2508-P-6700.CFE,6661.1862,6700.0,15,65.4,148.8,154.0,28.8,215.271,181.88600000000002,-3140.0000000000005,198.4999999999959,-3338.4999999999964,-0.15508359230922866,0.163171703390378,0.10427358631980904,0.048982448393704504,0.09523809523809523,0.05889811707056897,next_open,62.2,151.4,32817.0,19077.0,8642.0,4032.0,213.60000000000002,0.032066360793217286,65.4,148.8,214.20000000000002,154.0,28.8,182.8,,,,,,
