signal_date,holding_days,event_type,classification_reason,future_index_return,future_abs_return,future_gap_return_next_open,future_rv_5d,signal_rv20,rv_expansion_ratio,call_leg_pnl,put_leg_pnl,straddle_return,iv_change
2024-06-24,5,trend_vol_expansion,future RV expanded versus signal RV20,0.0107349619264545,0.0107349619264545,-0.000386044617011,0.3157298319095731,0.1954367579773632,1.6155089512185985,8.0,-34.8,-0.1159987432939218,
2024-06-25,1,trend_vol_expansion,future RV expanded versus signal RV20,0.0286271549946688,0.0286271549946688,-0.0011566316815958,0.3133034222273388,0.1852337650468508,1.6913947743171749,80.0,-91.00000000000001,-0.0484599632671155,
2024-06-25,3,trend_vol_expansion,future RV expanded versus signal RV20,0.0099794113000741,0.0099794113000741,-0.0011566316815958,0.3133034222273388,0.1852337650468508,1.6913947743171749,11.800000000000011,-60.400000000000006,-0.1800931692316352,
2024-06-25,5,trend_vol_expansion,future RV expanded versus signal RV20,0.0119727232216217,0.0119727232216217,-0.0011566316815958,0.3133034222273388,0.1852337650468508,1.6913947743171749,7.800000000000011,-77.00000000000001,-0.2522113618611327,
2024-06-26,1,noise_theta_decay,default muted/noise bucket,-0.024526470976292,0.024526470976292,-0.004356824591865,0.2151427296221864,0.2187575288618757,0.9834757722008658,-26.6,68.19999999999999,0.1654589064896979,
2024-06-26,3,noise_theta_decay,muted realized move or negative straddle return,-0.0092525567475861,0.0092525567475861,-0.004356824591865,0.2151427296221864,0.2187575288618757,0.9834757722008658,-17.200000000000003,23.19999999999999,0.0153491486350191,
2024-06-26,5,noise_theta_decay,muted realized move or negative straddle return,-0.0239153868598043,0.0239153868598043,-0.004356824591865,0.2151427296221864,0.2187575288618757,0.9834757722008658,-48.8,50.0,-0.0048903692779712,
2024-06-27,1,noise_theta_decay,muted realized move or negative straddle return,0.0065585606996423,0.0065585606996423,-0.0017958154724049,0.1981309919520018,0.2249317314645189,0.8808494500174836,3.200000000000003,-23.599999999999994,-0.0889065228976306,
2024-06-27,3,noise_theta_decay,muted realized move or negative straddle return,0.0085451211743707,0.0085451211743707,-0.0017958154724049,0.1981309919520018,0.2249317314645189,0.8808494500174836,-4.400000000000006,-40.8,-0.1848925816577783,
2024-06-27,5,noise_theta_decay,muted realized move or negative straddle return,-0.0210147416199817,0.0210147416199817,-0.0017958154724049,0.1981309919520018,0.2249317314645189,0.8808494500174836,-60.6,35.400000000000006,-0.1074844697544334,
2024-06-28,1,noise_theta_decay,muted realized move or negative straddle return,0.0090400977175817,0.0090400977175817,-0.0002916061723939,0.2120087783140463,0.2277791780888265,0.9307645241891678,8.200000000000003,-23.200000000000003,-0.0722436475341412,
2024-06-28,3,noise_theta_decay,muted realized move or negative straddle return,-0.0058934593963068,0.0058934593963068,-0.0002916061723939,0.2120087783140463,0.2277791780888265,0.9307645241891678,-33.8,-7.400000000000006,-0.1810494507329125,
2024-06-28,5,noise_theta_decay,muted realized move or negative straddle return,-0.0174005776036696,0.0174005776036696,-0.0002916061723939,0.2120087783140463,0.2277791780888265,0.9307645241891678,-62.4,19.400000000000006,-0.1885246585862632,
2024-07-01,1,noise_theta_decay,muted realized move or negative straddle return,-0.0070031719668434,0.0070031719668434,9.171606011371124e-05,0.2210317804591296,0.2321411460342627,0.9521439186248636,-20.400000000000006,8.0,-0.0650023425473528,
2024-07-01,3,trend_vol_expansion,large future move without single-leg shock dominance,-0.0361073234575654,0.0361073234575654,9.171606011371124e-05,0.2210317804591296,0.2321411460342627,0.9521439186248636,-76.6,84.2,0.0237913571157665,
2024-07-01,5,down_shock,negative future return with dominant put leg,-0.049852222978887,0.049852222978887,9.171606011371124e-05,0.2210317804591296,0.2321411460342627,0.9521439186248636,-91.6,135.60000000000002,0.1853958905026439,
2024-07-02,1,trend_vol_expansion,future RV expanded versus signal RV20,-0.007851579781573,0.007851579781573,-0.0010156656721739,0.3195599476947081,0.2323631455004318,1.3752608960706045,-20.799999999999997,10.200000000000003,-0.060453267828327,
2024-07-02,3,trend_vol_expansion,future RV expanded versus signal RV20,-0.0193360320856176,0.0193360320856176,-0.0010156656721739,0.3195599476947081,0.2323631455004318,1.3752608960706045,-49.4,37.000000000000014,-0.0690292521990624,
2024-07-02,5,trend_vol_expansion,future RV expanded versus signal RV20,-0.0221349477929497,0.0221349477929497,-0.0010156656721739,0.3195599476947081,0.2323631455004318,1.3752608960706045,-55.8,46.8,-0.0528301706098957,
2024-07-03,1,trend_vol_expansion,future RV expanded versus signal RV20,-0.0216276417042756,0.0216276417042756,0.0002903968550189,0.3181416445949525,0.2306747512621327,1.3791784443431554,-40.199999999999996,77.6,0.1817053449110557,
2024-07-03,3,down_shock,negative future return with dominant put leg,-0.0355790183320668,0.0355790183320668,0.0002903968550189,0.3181416445949525,0.2306747512621327,1.3791784443431554,-55.199999999999996,129.0,0.3682364574642319,
2024-07-03,5,trend_vol_expansion,future RV expanded versus signal RV20,-0.0183785623592831,0.0183785623592831,0.0002903968550189,0.3181416445949525,0.2306747512621327,1.3791784443431554,-43.8,46.79999999999998,0.0054231945860759,
2024-07-04,1,trend_vol_expansion,future RV expanded versus signal RV20,0.0102745183192811,0.0102745183192811,-0.0017082581877532,0.3197675628537081,0.236807973495164,1.3503243076409261,14.999999999999993,-34.400000000000006,-0.1103001190494757,
2024-07-04,3,trend_vol_expansion,future RV expanded versus signal RV20,0.0073910910592229,0.0073910910592229,-0.0017082581877532,0.3197675628537081,0.236807973495164,1.3503243076409261,0.3999999999999986,-30.200000000000017,-0.1640959258046236,
2024-07-04,5,trend_vol_expansion,future RV expanded versus signal RV20,0.0276627155561639,0.0276627155561639,-0.0017082581877532,0.3197675628537081,0.236807973495164,1.3503243076409261,52.4,-94.60000000000001,-0.2282370800126848,
2024-07-05,1,trend_vol_expansion,future RV expanded versus signal RV20,-0.0242847859269131,0.0242847859269131,-0.00193415061909,0.3213468573369016,0.2402154366236497,1.3377444091586925,-38.60000000000001,71.79999999999998,0.1813748486901928,
2024-07-05,3,trend_vol_expansion,future RV expanded versus signal RV20,-0.0068828972282515,0.0068828972282515,-0.00193415061909,0.3213468573369016,0.2402154366236497,1.3377444091586925,-16.000000000000007,1.5999999999999943,-0.0929346283715299,
2024-07-05,5,trend_vol_expansion,future RV expanded versus signal RV20,0.0139739097948055,0.0139739097948055,-0.00193415061909,0.3213468573369016,0.2402154366236497,1.3377444091586925,21.0,-68.4,-0.2831071649899512,
2024-07-08,1,noise_theta_decay,muted realized move or negative straddle return,0.0219640760833996,0.0219640760833996,-0.0009991553409176,0.2539365926565256,0.248643671730396,1.0212871732841393,43.0,-50.39999999999999,-0.0521528303184537,
2024-07-08,3,up_shock,positive future return with dominant call leg,0.0425289512183815,0.0425289512183815,-0.0009991553409176,0.2539365926565256,0.248643671730396,1.0212871732841393,122.19999999999999,-87.39999999999999,0.1885159456175343,
2024-07-08,5,trend_vol_expansion,large future move without single-leg shock dominance,0.0284700686294026,0.0284700686294026,-0.0009991553409176,0.2539365926565256,0.248643671730396,1.0212871732841393,50.8,-89.8,-0.2323692596923217,
2024-07-09,1,noise_theta_decay,muted realized move or negative straddle return,-0.0040403260044468,0.0040403260044468,-0.0028963344532824,0.209870007299609,0.2586696422990653,0.8113437875209346,-2.3999999999999986,-6.0,-0.0601095847661571,
2024-07-09,3,noise_theta_decay,muted realized move or negative straddle return,0.016876178872266,0.016876178872266,-0.0028963344532824,0.209870007299609,0.2586696422990653,0.8113437875209346,34.60000000000001,-76.0,-0.2571641190909144,
2024-07-09,5,noise_theta_decay,muted realized move or negative straddle return,0.0082665157187624,0.0082665157187624,-0.0028963344532824,0.209870007299609,0.2586696422990653,0.8113437875209346,-13.599999999999994,-75.2,-0.5402060865755661,
2024-07-12,1,noise_theta_decay,muted realized move or negative straddle return,-0.0103355880393674,0.0103355880393674,-0.0018481475935059,0.1043343271108859,0.2671407061702516,0.3905594493876666,-25.599999999999994,22.599999999999994,-0.0202418262119754,
2024-07-12,3,noise_theta_decay,default muted/noise bucket,-0.0168912608897935,0.0168912608897935,-0.0018481475935059,0.1043343271108859,0.2671407061702516,0.3905594493876666,-35.2,43.0,0.0168078526287479,
2024-07-12,5,noise_theta_decay,muted realized move or negative straddle return,-0.0116024136434879,0.0116024136434879,-0.0018481475935059,0.1043343271108859,0.2671407061702516,0.3905594493876666,-31.400000000000006,14.599999999999994,-0.0675830825084557,
2024-07-15,1,noise_theta_decay,muted realized move or negative straddle return,0.0018883287051214,0.0018883287051214,-0.0024574725221254,0.0766917336460284,0.2648387471889836,0.2895789776233261,3.799999999999997,-9.199999999999989,-0.0308341106965172,
2024-07-15,3,noise_theta_decay,muted realized move or negative straddle return,-0.0031435895206196,0.0031435895206196,-0.0024574725221254,0.0766917336460284,0.2648387471889836,0.2895789776233261,7.799999999999997,9.199999999999989,0.0557952425373135,
2024-07-15,5,noise_theta_decay,muted realized move or negative straddle return,-0.0001514209237989,0.0001514209237989,-0.0024574725221254,0.0766917336460284,0.2648387471889836,0.2895789776233261,-2.0,-14.0,-0.071828358208955,
